Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,DOI,File,SuppMat,Note
"Lafond, M; Meghdari, Miardan Mona; Sankoff, David; ",Accurate prediction of orthologs in the presence of divergence after duplication,Bioinformatics,34,13,i366-i375,2018,,10.1093/bioinformatics/bty242,ISMB2018.pdf,,Journal issue of the ISMB2018 conference proceedings
"Dondi, Riccardo; Lafond, Manuel; Scornavacca, Céline; ",Reconciling Multiple Genes Trees via Segmental Duplications and Losses,18th International Workshop on Algorithms in Bioinformatics (WABI),,,,2018,,10.4230/LIPIcs.WABI.2018.5,SegmentalRec.pdf,,
"Lafond, Manuel; El-Mabrouk, Nadia; Huber, Katharina T; Moulton, Vincent; ",The complexity of comparing multiply-labelled trees by extending phylogenetic-tree metrics,Theoretical Computer Science,,,,2018,,10.1016/j.tcs.2018.08.006,tree-metrics.pdf,,
"Lafond, Manuel; Scornavacca, Céline; ",On the Weighted Quartet Consensus Problem,Theoretical computer science,,,,2018,,10.1016/j.tcs.2018.10.005,weighted_quartet_consensus_tcs.pdf,,
"Cordasco, Gennaro; Gargano, Luisa; Lafond, Manuel; Narayanan, Lata; Rescigno, Adele A; Vaccaro, Ugo; Wu, Kangkang; ",Whom to befriend to influence people,Theoretical Computer Science,,,,2018,Elsevier,10.1016/j.tcs.2018.05.030,,,
"Krizanc, Danny; Lafond, Manuel; Narayanan, Lata; Opatrny, Jaroslav; Shende, Sunil; ",Satisfying Neighbor Preferences on a Circle,Latin American Symposium on Theoretical Informatics (LATIN),,,727-740,2018,"Springer, Cham",10.1007/978-3-319-77404-6_53,harmony_latin.pdf,,
"Delabre, Matteo; El-Mabrouk, Nadia; Huber, Katharina; Lafond, Manuel; Moulton, Vincent; Noutahi, Emmanuel; Sautie Castellanos, Miguel; ",Reconstructing the history of syntenies through Super-Reconciliation,Proceedings of 16th RECOMB Comparative Genomics Satellite Workshop (RECOMB-CG),,,,2018,,,,,
"Lafond, Manuel; ",The complexity of speedrunning video games,The Ninth International Conference on Fun with Algorithms (FUN),100,,,2018,Schloss Dagstuhl-Leibniz-Zentrum fuer Informatik,10.4230/LIPIcs.FUN.2018.27,video_games_fun.pdf,,"(postdoc work, because postdocs have time to have fun)"
"Dondi, Riccardo; Lafond, Manuel; El-Mabrouk, Nadia; ",Approximating the correction of weighted and unweighted orthology and paralogy relations,Algorithms for Molecular Biology,12,1,4,2017,BioMed Central,10.1186/s13015-017-0096-x,RelatCorrection.pdf,,Special issue of WABI2016
"Luhmann, Nina; Lafond, Manuel; Thevenin, Annelyse; Ouangraoua, Aida; Wittler, Roland; Chauve, Cedric; ",The SCJ small parsimony problem for weighted gene adjacencies,IEEE/ACM transactions on computational biology and bioinformatics,,,,2017,IEEE,10.1109/TCBB.2017.2661761,,,
"Lafond, Manuel; Chauve, Cedric; El-Mabrouk, Nadia; ",Gene tree construction and correction using supertree and reconciliation,IEEE/ACM transactions on computational biology and bioinformatics,,,,2017,IEEE,10.1109/TCBB.2017.2720581,gene-tree-construction.pdf,,
"Dobrev, Stefan; Kranakis, Evangelos; Krizanc, Danny; Lafond, Manuel; Manuch, Jan; Narayanan, Lata; Opatrny, Jaroslav; Shende, Sunil; Stacho, Ladislav; ",Weak coverage of a rectangular barrier,International Conference on Algorithms and Complexity (CIAC),,,196-208,2017,"Springer, Cham",10.1007/978-3-319-57586-5_17,weak-coverage.pdf,,
"Chauve, Cedric; Jones, Mark; Lafond, Manuel; Scornavacca, Céline; Weller, Mathias; ",Constructing a consensus phylogeny from a leaf-removal distance,International Symposium on String Processing and Information Retrieval (SPIRE),,,129-143,2017,"Springer, Cham",10.1007/978-3-319-67428-5_12,consensus-leaf-removal.pdf,,
"Dobrev, Stefan; Lafond, Manuel; Narayanan, Lata; Opatrny, Jaroslav; ",Optimal local buffer management for information gathering with adversarial traffic,Proceedings of the 29th ACM Symposium on Parallelism in Algorithms and Architectures (SPAA),,,265-274,2017,ACM,10.1145/3087556.3087577,SPAA-buffers.pdf,,
"Gambette, Philippe; Van Iersel, Leo; Jones, Mark; Lafond, Manuel; Pardi, Fabio; Scornavacca, Celine; ",Rearrangement moves on rooted phylogenetic networks,PLoS computational biology,13,8,,2017,Public Library of Science,10.1371/journal.pcbi.1005611,,,
"Kuitche, Esaie; Lafond, Manuel; Ouangraoua, Aïda; ",Reconstructing protein and gene phylogenies using reconciliation and soft-clustering,Journal of bioinformatics and computational biology,15,6,,2017,World Scientific Publishing Company,10.1142/S0219720017400078,reconstructing-protein-gene.pdf,,Special issue of BICOB2017
"Lafond, Manuel; Scornavacca, Céline; ",On the Weighted Quartet Consensus Problem,28th Annual Symposium on Combinatorial Pattern Matching (CPM),78,,28:1--28:18,2017,,10.4230/LIPIcs.CPM.2017.28,,,
"Lafond, Manuel; ",On strongly chordal graphs that are not leaf powers,International Workshop on Graph-Theoretic Concepts in Computer Science (WG),,,386-398,2017,Springer,10.1007/978-3-319-68705-6_29,strongly-chordal-graphs.pdf,,
"Lafond, Manuel; Dondi, Riccardo; El-Mabrouk, Nadia; ",The link between orthology relations and gene trees: a correction perspective,Algorithms for Molecular Biology,11,1,4,2016,BioMed Central,10.1186/s13015-016-0067-7,OrthoParaComplexityBMC.pdf,,Special issue of WABI2015
"Noutahi, Emmanuel; Semeria, Magali; Lafond, Manuel; Seguin, Jonathan; Boussau, Bastien; Guéguen, Laurent; El-Mabrouk, Nadia; Tannier, Eric; ",Efficient gene tree correction guided by genome evolution,PLoS One,11,8,,2016,Public Library of Science,10.1371/journal.pone.0159559,,,
"Lafond, Manuel; Noutahi, Emmanuel; El-Mabrouk, Nadia; ",Efficient Non-Binary Gene Tree Resolution with Weighted Reconciliation Cost,27th Annual Symposium on Combinatorial Pattern Matching (CPM),54,,,2016,Schloss Dagstuhl--Leibniz-Zentrum fuer Informatik,10.4230/LIPIcs.CPM.2016.14,non-binary-gene-trees-weighted.pdf,,
"Dondi, Riccardo; El-Mabrouk, Nadia; Lafond, Manuel; ",Correction of weighted orthology and paralogy relations-complexity and algorithmic results,International Workshop on Algorithms in Bioinformatics (WABI),,,121-136,2016,"Springer, Cham",10.1007/978-3-319-43681-4_10,WABI16.pdf,,
"Lafond, Manuel; ",Algorithmes de construction et correction d'arbres de gènes par la réconciliation,"PhD thesis (in French), University of Montreal",,,,2016,,,Lafond_Manuel_2016_these.pdf,,
"Lafond, Manuel; Narayanan, Lata; Wu, Kangkang; ",Whom to befriend to influence people,International Colloquium on Structural Information and Communication Complexity (SIROCCO),,,340-357,2016,"Springer, Cham",10.1007/978-3-319-48314-6_22,,,
"Lafond, Manuel; Seamone, Ben; ",Hamiltonian chordal graphs are not cycle extendable,SIAM Journal on Discrete Mathematics,29,2,877-887,2015,Society for Industrial and Applied Mathematics,10.1137/13094551X,,,
